openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1359]: Warning: Wire WishboneInterconnect.\slave4_wb_data_i [2] is used but has no driver.
openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1360]: Warning: Wire WishboneInterconnect.\slave4_wb_data_i [1] is used but has no driver.
openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1361]: Warning: Wire WishboneInterconnect.\slave4_wb_data_i [0] is used but has no driver.
openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1362]: Warning: Wire WishboneInterconnect.\slave4_wb_cyc_i is used but has no driver.
openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1363]: Warning: Wire WishboneInterconnect.\slave4_wb_adr_i [23] is used but has no driver.
openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1364]: Warning: Wire WishboneInterconnect.\slave4_wb_adr_i [22] is used but has no driver.
openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1365]: Warning: Wire WishboneInterconnect.\slave4_wb_adr_i [21] is used but has no driver.
openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1366]: Warning: Wire WishboneInterconnect.\slave4_wb_adr_i [20] is used but has no driver.
openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1367]: Warning: Wire WishboneInterconnect.\slave4_wb_adr_i [19] is used but has no driver.
openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1368]: Warning: Wire WishboneInterconnect.\slave4_wb_adr_i [18] is used but has no driver.
openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1369]: Warning: Wire WishboneInterconnect.\slave4_wb_adr_i [17] is used but has no driver.
openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1370]: Warning: Wire WishboneInterconnect.\slave4_wb_adr_i [16] is used but has no driver.
openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1371]: Warning: Wire WishboneInterconnect.\slave4_wb_adr_i [15] is used but has no driver.
