openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2132]: Warning: Wire ExperiarCore.\probe_programCounter [5] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2133]: Warning: Wire ExperiarCore.\probe_programCounter [4] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2134]: Warning: Wire ExperiarCore.\probe_programCounter [3] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2135]: Warning: Wire ExperiarCore.\probe_programCounter [2] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2136]: Warning: Wire ExperiarCore.\probe_programCounter [1] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2137]: Warning: Wire ExperiarCore.\probe_programCounter [0] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2138]: Warning: Wire ExperiarCore.\probe_opcode [6] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2139]: Warning: Wire ExperiarCore.\probe_opcode [5] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2140]: Warning: Wire ExperiarCore.\probe_opcode [4] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2141]: Warning: Wire ExperiarCore.\probe_opcode [3] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2142]: Warning: Wire ExperiarCore.\probe_opcode [2] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2143]: Warning: Wire ExperiarCore.\probe_opcode [1] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2144]: Warning: Wire ExperiarCore.\probe_opcode [0] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2145]: Warning: Wire ExperiarCore.\probe_jtagInstruction [4] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2146]: Warning: Wire ExperiarCore.\probe_jtagInstruction [3] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2147]: Warning: Wire ExperiarCore.\probe_jtagInstruction [2] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2148]: Warning: Wire ExperiarCore.\probe_jtagInstruction [1] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2149]: Warning: Wire ExperiarCore.\probe_jtagInstruction [0] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2150]: Warning: Wire ExperiarCore.\probe_isStore is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2151]: Warning: Wire ExperiarCore.\probe_isLoad is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2152]: Warning: Wire ExperiarCore.\probe_isCompressed is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2153]: Warning: Wire ExperiarCore.\probe_isBranch is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2154]: Warning: Wire ExperiarCore.\probe_errorCode [3] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2155]: Warning: Wire ExperiarCore.\probe_errorCode [2] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2156]: Warning: Wire ExperiarCore.\probe_errorCode [1] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2157]: Warning: Wire ExperiarCore.\probe_errorCode [0] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2158]: Warning: Wire ExperiarCore.\localMemory_wb_stall_o is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2159]: Warning: Wire ExperiarCore.\localMemory_wb_error_o is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2160]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [31] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2161]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [30] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2162]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [29] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2163]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [28] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2164]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [27] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2165]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [26] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2166]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [25] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2167]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [24] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2168]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [23] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2169]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [22] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2170]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [21] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2171]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [20] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2172]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [19] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2173]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [18] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2174]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [17] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2175]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [16] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2176]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [15] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2177]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [14] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2178]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [13] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2179]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [12] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2180]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [11] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2181]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [10] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2182]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [9] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2183]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [8] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2184]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [7] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2185]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [6] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2186]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [5] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2187]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [4] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2188]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [3] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2189]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [2] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2190]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [1] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2191]: Warning: Wire ExperiarCore.\localMemory_wb_data_o [0] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2192]: Warning: Wire ExperiarCore.\localMemory_wb_ack_o is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2193]: Warning: Wire ExperiarCore.\jtag_tdo is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2194]: Warning: Wire ExperiarCore.\din0 [31] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2195]: Warning: Wire ExperiarCore.\din0 [30] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2196]: Warning: Wire ExperiarCore.\din0 [29] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2197]: Warning: Wire ExperiarCore.\din0 [28] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2198]: Warning: Wire ExperiarCore.\din0 [27] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2199]: Warning: Wire ExperiarCore.\din0 [26] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2200]: Warning: Wire ExperiarCore.\din0 [25] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2201]: Warning: Wire ExperiarCore.\din0 [24] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2202]: Warning: Wire ExperiarCore.\din0 [23] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2203]: Warning: Wire ExperiarCore.\din0 [22] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2204]: Warning: Wire ExperiarCore.\din0 [21] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2205]: Warning: Wire ExperiarCore.\din0 [20] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2206]: Warning: Wire ExperiarCore.\din0 [19] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2207]: Warning: Wire ExperiarCore.\din0 [18] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2208]: Warning: Wire ExperiarCore.\din0 [17] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2209]: Warning: Wire ExperiarCore.\din0 [16] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2210]: Warning: Wire ExperiarCore.\din0 [15] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2211]: Warning: Wire ExperiarCore.\din0 [14] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2212]: Warning: Wire ExperiarCore.\din0 [13] is used but has no driver.
