openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[996]: ABC: Warning: Detected 2 multi-output gates (for example, "sky130_fd_sc_hd__fa_1").
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1160]: Warning: Wire GPIO.\gpio1_output [16] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1161]: Warning: Wire GPIO.\gpio1_output [15] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1162]: Warning: Wire GPIO.\gpio1_output [14] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1163]: Warning: Wire GPIO.\gpio1_output [13] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1164]: Warning: Wire GPIO.\gpio1_output [12] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1165]: Warning: Wire GPIO.\gpio1_output [11] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1166]: Warning: Wire GPIO.\gpio1_output [10] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1167]: Warning: Wire GPIO.\gpio1_output [9] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1168]: Warning: Wire GPIO.\gpio1_output [8] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1169]: Warning: Wire GPIO.\gpio1_output [7] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1170]: Warning: Wire GPIO.\gpio1_output [6] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1171]: Warning: Wire GPIO.\gpio1_output [5] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1172]: Warning: Wire GPIO.\gpio1_output [4] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1173]: Warning: Wire GPIO.\gpio1_output [3] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1174]: Warning: Wire GPIO.\gpio1_output [2] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1175]: Warning: Wire GPIO.\gpio1_output [1] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1176]: Warning: Wire GPIO.\gpio1_output [0] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1177]: Warning: Wire GPIO.\gpio1_oe [18] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1178]: Warning: Wire GPIO.\gpio1_oe [17] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1179]: Warning: Wire GPIO.\gpio1_oe [16] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1180]: Warning: Wire GPIO.\gpio1_oe [15] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1181]: Warning: Wire GPIO.\gpio1_oe [14] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1182]: Warning: Wire GPIO.\gpio1_oe [13] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1183]: Warning: Wire GPIO.\gpio1_oe [12] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1184]: Warning: Wire GPIO.\gpio1_oe [11] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1185]: Warning: Wire GPIO.\gpio1_oe [10] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1186]: Warning: Wire GPIO.\gpio1_oe [9] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1187]: Warning: Wire GPIO.\gpio1_oe [8] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1188]: Warning: Wire GPIO.\gpio1_oe [7] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1189]: Warning: Wire GPIO.\gpio1_oe [6] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1190]: Warning: Wire GPIO.\gpio1_oe [5] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1191]: Warning: Wire GPIO.\gpio1_oe [4] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1192]: Warning: Wire GPIO.\gpio1_oe [3] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1193]: Warning: Wire GPIO.\gpio1_oe [2] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1194]: Warning: Wire GPIO.\gpio1_oe [1] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1195]: Warning: Wire GPIO.\gpio1_oe [0] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1196]: Warning: Wire GPIO.\gpio0_output [18] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1197]: Warning: Wire GPIO.\gpio0_output [17] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1198]: Warning: Wire GPIO.\gpio0_output [16] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1199]: Warning: Wire GPIO.\gpio0_output [15] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1200]: Warning: Wire GPIO.\gpio0_output [14] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1201]: Warning: Wire GPIO.\gpio0_output [13] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1202]: Warning: Wire GPIO.\gpio0_output [12] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1203]: Warning: Wire GPIO.\gpio0_output [11] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1204]: Warning: Wire GPIO.\gpio0_output [10] is used but has no driver.
