openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[769]: ABC: Warning: Detected 2 multi-output gates (for example, "sky130_fd_sc_hd__fa_1").
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1016]: Warning: Wire user_proj_example.\la_data_out [119] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1017]: Warning: Wire user_proj_example.\la_data_out [118] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1018]: Warning: Wire user_proj_example.\la_data_out [117] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1019]: Warning: Wire user_proj_example.\la_data_out [116] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1020]: Warning: Wire user_proj_example.\la_data_out [115] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1021]: Warning: Wire user_proj_example.\la_data_out [114] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1022]: Warning: Wire user_proj_example.\la_data_out [113] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1023]: Warning: Wire user_proj_example.\la_data_out [112] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1024]: Warning: Wire user_proj_example.\la_data_out [111] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1025]: Warning: Wire user_proj_example.\la_data_out [110] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1026]: Warning: Wire user_proj_example.\la_data_out [109] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1027]: Warning: Wire user_proj_example.\la_data_out [108] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1028]: Warning: Wire user_proj_example.\la_data_out [107] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1029]: Warning: Wire user_proj_example.\la_data_out [106] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1030]: Warning: Wire user_proj_example.\la_data_out [105] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1031]: Warning: Wire user_proj_example.\la_data_out [104] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1032]: Warning: Wire user_proj_example.\la_data_out [103] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1033]: Warning: Wire user_proj_example.\la_data_out [102] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1034]: Warning: Wire user_proj_example.\la_data_out [101] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1035]: Warning: Wire user_proj_example.\la_data_out [100] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1036]: Warning: Wire user_proj_example.\la_data_out [99] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1037]: Warning: Wire user_proj_example.\la_data_out [98] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1038]: Warning: Wire user_proj_example.\la_data_out [97] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1039]: Warning: Wire user_proj_example.\la_data_out [96] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1040]: Warning: Wire user_proj_example.\la_data_out [95] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1041]: Warning: Wire user_proj_example.\la_data_out [94] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1042]: Warning: Wire user_proj_example.\la_data_out [93] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1043]: Warning: Wire user_proj_example.\la_data_out [92] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1044]: Warning: Wire user_proj_example.\la_data_out [91] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1045]: Warning: Wire user_proj_example.\la_data_out [90] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1046]: Warning: Wire user_proj_example.\la_data_out [89] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1047]: Warning: Wire user_proj_example.\la_data_out [88] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1048]: Warning: Wire user_proj_example.\la_data_out [87] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1049]: Warning: Wire user_proj_example.\la_data_out [86] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1050]: Warning: Wire user_proj_example.\la_data_out [85] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1051]: Warning: Wire user_proj_example.\la_data_out [84] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1052]: Warning: Wire user_proj_example.\la_data_out [83] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1053]: Warning: Wire user_proj_example.\la_data_out [82] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1054]: Warning: Wire user_proj_example.\la_data_out [81] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1055]: Warning: Wire user_proj_example.\la_data_out [80] is used but has no driver.
